               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.055142,            0.013878,                   0,             0.80881,                0.65,              0.7746,             0.25099,            0.053841,           0.0097566,                   0,            0.006007,            0.006007,            0.006007
                 123,             0.05208,            0.017704,                   0,             0.87459,                0.75,             0.89391,             0.44116,            0.040046,            0.010615,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.045374,            0.015191,                   0,             0.87459,                0.75,             0.89391,             0.44116,            0.040046,            0.010615,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.047313,            0.016449,                   0,             0.87459,                0.75,             0.89391,             0.44116,            0.040046,            0.010615,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.045578,            0.016361,                   0,             0.88399,                0.75,              0.9217,             0.49338,            0.037667,            0.010516,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.044308,            0.014766,                   0,             0.88399,                0.75,              0.9217,             0.49338,            0.037667,            0.010516,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.044926,            0.016238,                   0,             0.82923,                 0.7,             0.86325,             0.42461,            0.042835,           0.0096793,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.050421,            0.015343,                   0,             0.82923,                 0.7,             0.86325,             0.42461,            0.042835,           0.0096793,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.041655,            0.013597,                   0,             0.82923,                 0.7,             0.86325,             0.42461,            0.042835,           0.0096793,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.048172,            0.013586,                   0,             0.84295,                 0.6,             0.81576,             0.33971,            0.043275,             0.00951,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.049105,            0.011536,                   0,             0.84295,                 0.6,             0.81576,             0.33971,            0.043275,             0.00951,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.049754,            0.015166,                   0,             0.84295,                 0.6,             0.81576,             0.33971,            0.043275,             0.00951,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.043709,            0.014451,                   0,             0.93109,                0.65,             0.88404,             0.52154,            0.038447,           0.0096269,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.043882,            0.015005,                   0,             0.93109,                0.65,             0.88404,             0.52154,            0.038447,           0.0096269,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.040735,            0.018642,                   0,             0.98468,                0.75,             0.93399,             0.42573,            0.039177,           0.0093112,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.044867,            0.014947,                   0,             0.98468,                0.75,             0.93399,             0.42573,            0.039177,           0.0093112,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.045815,            0.014787,                   0,             0.98468,                0.75,             0.93399,             0.42573,            0.039177,           0.0093112,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.04557,            0.015069,                   0,              0.8803,                0.75,             0.92163,             0.48034,            0.037969,           0.0090175,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.041619,            0.013797,                   0,              0.8803,                0.75,             0.92163,             0.48034,            0.037969,           0.0090175,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.040693,            0.013595,                   0,              0.8803,                0.75,             0.92163,             0.48034,            0.037969,           0.0090175,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.039707,            0.014707,                   0,              0.9234,                0.75,             0.94246,             0.53625,            0.034863,           0.0090318,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.04017,            0.016499,                   0,              0.9234,                0.75,             0.94246,             0.53625,            0.034863,           0.0090318,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.039506,            0.014628,                   0,             0.77951,                0.75,             0.84537,             0.39958,            0.039555,            0.008615,                   0,            0.005281,            0.005281,            0.005281
                 145,             0.04475,            0.013013,                   0,             0.77951,                0.75,             0.84537,             0.39958,            0.039555,            0.008615,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.028417,            0.011561,                   0,             0.77951,                0.75,             0.84537,             0.39958,            0.039555,            0.008615,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.047621,            0.016435,                   0,             0.87895,             0.72686,             0.87764,              0.4236,            0.041689,           0.0084257,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.046841,             0.01476,                   0,             0.87895,             0.72686,             0.87764,              0.4236,            0.041689,           0.0084257,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.044129,           0.0098887,                   0,             0.87895,             0.72686,             0.87764,              0.4236,            0.041689,           0.0084257,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.041538,           0.0086656,                   0,             0.69957,                0.95,              0.9242,              0.5183,              0.0361,           0.0085239,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.045234,            0.014081,                   0,             0.69957,                0.95,              0.9242,              0.5183,              0.0361,           0.0085239,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.040386,            0.012572,                   0,             0.79654,                0.75,             0.88667,             0.29452,            0.046695,           0.0080247,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.045833,            0.013886,                   0,             0.79654,                0.75,             0.88667,             0.29452,            0.046695,           0.0080247,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.050469,            0.016885,                   0,             0.79654,                0.75,             0.88667,             0.29452,            0.046695,           0.0080247,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.050169,            0.014692,                   0,             0.97458,                0.75,             0.91954,             0.42473,            0.041608,           0.0080867,                   0,            0.004918,            0.004918,            0.004918
                 156,             0.04089,            0.012697,                   0,             0.97458,                0.75,             0.91954,             0.42473,            0.041608,           0.0080867,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.043157,            0.014038,                   0,             0.97458,                0.75,             0.91954,             0.42473,            0.041608,           0.0080867,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.039154,            0.011135,                   0,             0.84852,                 0.9,             0.94725,             0.56825,            0.036887,           0.0081358,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.037943,            0.012203,                   0,             0.84852,                 0.9,             0.94725,             0.56825,            0.036887,           0.0081358,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.041608,             0.01269,                   0,             0.83662,                0.75,             0.90506,             0.33477,            0.043801,           0.0078211,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.051196,            0.011554,                   0,             0.83662,                0.75,             0.90506,             0.33477,            0.043801,           0.0078211,                   0,             0.00472,             0.00472,             0.00472
                 162,             0.05605,            0.013635,                   0,             0.83662,                0.75,             0.90506,             0.33477,            0.043801,           0.0078211,                   0,            0.004687,            0.004687,            0.004687
                 163,             0.05145,            0.010961,                   0,             0.72899,             0.94172,             0.87668,             0.38685,            0.042353,           0.0079856,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.045012,            0.011989,                   0,             0.72899,             0.94172,             0.87668,             0.38685,            0.042353,           0.0079856,                   0,            0.004621,            0.004621,            0.004621
                 165,             0.04702,            0.010788,                   0,             0.72899,             0.94172,             0.87668,             0.38685,            0.042353,           0.0079856,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.044425,            0.014419,                   0,             0.69996,                0.95,             0.75096,             0.36756,            0.043209,           0.0080171,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.039961,            0.013214,                   0,             0.69996,                0.95,             0.75096,             0.36756,            0.043209,           0.0080171,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.04526,            0.015611,                   0,             0.89234,                 0.7,             0.91368,             0.50446,            0.037346,           0.0080309,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.048382,            0.012072,                   0,             0.89234,                 0.7,             0.91368,             0.50446,            0.037346,           0.0080309,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.046914,            0.014445,                   0,             0.89234,                 0.7,             0.91368,             0.50446,            0.037346,           0.0080309,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.039594,            0.014337,                   0,             0.83603,                 0.9,             0.94173,             0.56555,            0.034296,           0.0081019,                   0,             0.00439,             0.00439,             0.00439
